"district","total_population","persons_rural","percent_rural","percent_urban","rural_urban","rural_urban_binary"
"adilabad",2246350.5,1980980,88.1865942113664,11.8134057886336,"RURAL",0
"agra",3838027.5,2394602,62.3914758297068,37.6085241702932,"URBAN",1
"ahmadnagar",4393557.8,691387,15.7363811169162,84.2636188830838,"URBAN",1
"ajmer",2446623,1547642,63.2562515761521,36.7437484238479,"URBAN",1
"akola",1470789,1094165,74.393063858922,25.606936141078,"RURAL",0
"alappuzha",1882886.6,979643,52.0287838895874,47.9712161104126,"URBAN",1
"aligarh",2859368.6,2456698,85.9174994087856,14.0825005912144,"RURAL",0
"allahabad",5391144.4,NA,NA,NA,NA,NA
"almora",538641.8,NA,NA,NA,NA,NA
"alwar",2817295.4,2067236,73.3766150329852,26.6233849670148,"RURAL",0
"ambala",952827.2,627576,65.8646184743677,34.1353815256323,"RURAL",0
"ambedkar nagar",2130966,2117158,99.3520309568524,0.647969043147569,"RURAL",0
"amravati",2676148,1851158,69.1724822393978,30.8275177606022,"RURAL",0
"amreli",1421839.1,1127555,79.3025736878385,20.6974263121615,"RURAL",0
"amritsar",2215487.1,NA,NA,NA,NA,NA
"anand",1812886.4,NA,NA,NA,NA,NA
"anantapur",3968603.6,2935437,73.9664954191948,26.0335045808052,"RURAL",0
"araria",2026335.8,2642792,130.422213337,-30.4222133369997,"RURAL",0
"aurangabad",4581838.8,2081112,45.4208908440864,54.5791091559136,"URBAN",1
"azamgarh",3004458,4220512,140.474987501906,-40.4749875019055,"RURAL",0
"bagalkot",1567544.6,NA,NA,NA,NA,NA
"baghpat",1199218,1028023,85.7244470980255,14.2755529019745,"RURAL",0
"bahraich",2537629.8,3203687,126.247216989649,-26.2472169896492,"RURAL",0
"balaghat",1521831.6,969152,63.683261669688,36.316738330312,"URBAN",1
"ballia",2393587.8,2935665,122.647057275275,-22.6470572752752,"RURAL",0
"balrampur",1590992.4,560242,35.2133674554322,64.7866325445678,"URBAN",1
"banda",1445168.2,655833,45.3810843609761,54.6189156390239,"URBAN",1
"bangalore rural",930625.2,722179,77.6014876880618,22.3985123119382,"RURAL",0
"banka",1413535.4,1963450,138.903489788795,-38.9034897887948,"RURAL",0
"bankura",2979976.6,NA,NA,NA,NA,NA
"banswara",1381639.5,250819,18.1537224435173,81.8462775564827,"URBAN",1
"bara banki",2488120.6,2929896,117.755385329795,-17.7553853297947,"RURAL",0
"bareilly",3158584,2879950,91.1785154360308,8.82148456396918,"RURAL",0
"bargarh",1439385.4,290130,20.1565195812046,79.8434804187954,"URBAN",1
