Full_name_pdf,Candidate_trivedi_filtered,score
INDIRA GANDHI,Sonia Gandhi,80
FEROZE GANDHI,FEROZE VARUN GANDHI,81
RAJIV GANDHI,Ramji Manjhi,75
SANJAY GANDHI,Sonia Gandhi,80
MANEKA GANDHI,MANEKA GANDHI,100
SONIA GANDHI,Sonia Gandhi,100
FEROZE VARUN GANDHI,FEROZE VARUN GANDHI,100
INDIRA GANDHI,Sonia Gandhi,80
FEROZE GANDHI,FEROZE VARUN GANDHI,81
RAJIV GANDHI,Ramji Manjhi,75
SANJAY GANDHI,Sonia Gandhi,80
MANEKA GANDHI,MANEKA GANDHI,100
SONIA GANDHI,Sonia Gandhi,100
FEROZE VARUN GANDHI,FEROZE VARUN GANDHI,100
INDIRA GANDHI,Sonia Gandhi,80
FEROZE GANDHI,FEROZE VARUN GANDHI,81
RAJIV GANDHI,Ramji Manjhi,75
SANJAY GANDHI,Sonia Gandhi,80
MANEKA GANDHI,MANEKA GANDHI,100
SONIA GANDHI,Sonia Gandhi,100
FEROZE VARUN GANDHI,FEROZE VARUN GANDHI,100
Kaul Deepa,Deepak Kumar,73
MULAYAM SINGH YADAV,MULAYAM SINGH YADAV,100
AKHILESH YADAV,AKHILESH YADAV,100
DIMPLE YADAV,Dimple Yadav,100
Yadav Dimple,Dimple Yadav,100
PROF. RAM GOPAL YADAV,Ram Kripal Yadav,72
AKSHAY YADAV,AKHILESH YADAV,77
DHARMENDRA YADAV,DHARMENDRA YADAV,100
Yadav Dharmendra,DHARMENDRA YADAV,100
ANIL KUMAR SHASTRI,ANIL KUMAR MAURYA,74
MITRA SEN YADAV,MITRASEN YADAV,97
BENI PRASAD VERMA,BENI PRASAD VERMA,100
CHAUDHARY CHARAN SINGH,SANJAY SINGH CHAUHAN,71
AJIT SINGH,AJIT SINGH,100
GAYATRI DEVI,Omwati Devi,70
JAYANT CHAUDHARY,JAYANT CHAUDHARY,100
MANVENDRA SHAH,Manabendra Shah,90
