wiki_names,Candidate_trivedi_filtered,score
Lalu Prasad Yadav,DURGA PRASAD YADAV,80
Rabri Devi,RAMA DEVI,74
Tej Pratap Yadav,PARASNATH YADAV,71
Misa Bharti,Uma Bharti,86
Vijay Kumar Mishra,VIJAY KUMAR SHUKLA,83
Rishi Mishra,SUKHDA MISHRA,72
Jagannath Mishra,JAGANNATH,72
Nitish Mishra,NITISH KUMAR,72
Sadhu Sharan Singh,Dr Karan Singh,75
Thakur Jugal Kishore Sinha,Jugal Kishore Sahu,82
Ram Dulari Sinha,RAM MURTHI SINGH,75
Ajit Jogi,Ajit Jogi,100
Renu Jogi,DR.RENU JOGI,86
Amit Jogi,Ajit Jogi,89
Shyama Charan Shukla,Shyama Charan Shukla,100
Vidya Charan Shukla,VIDHYA CHARAN SHUKLA,97
Baliram Kashyap,Baliram Kashyap,100
Raman Singh,RATAN SINGH,91
Abhishek Singh,Ashok Singh,80
Victoria Fernandes,OSCAR FERNANDES,73
Chimanbhai Patel,PATEL DIPAKBHAI CHIMANBHAI,76
Bharat Patel,Chhatra Pal,70
Kika Patel,DINSHA PATEL,73
Dileep Sanghani,DILEEP SANGHANI,100
Madhavsinh Solanki,SOLANKI BHARATSINH MADHAVSINH,77
Bharatsinh Madhavsinh Solanki,SOLANKI BHARATSINH MADHAVSINH,100
Purshottam Solanki,PURSHOTTAM ODHAVJI SOLANKI,82
Rajesh Sharma,ASHOK SHARMA,80
Mahadev Sharma,MAHADEV SINGH,74
Bansi Lal,Bhajan Lal,74
Ranbir Singh Mahendra,MAHENDRA SINGH MEWAR,83
Surender Singh,SURENDER SINGH,100
Kiran Choudhry,KAMAL CHOUDHARY,76
Shruti Choudhry,SHAKUNI CHOUDHARY,81
Bhajan Lal,Bhajan Lal,100
Jasma Devi,RAMA DEVI,84
Chander Mohan,Chandra Mohan,92
Kuldeep Bishnoi,KULDEEP BISHNOI,100
Dura Ram,Dr. Raman,75
Kamalvir Singh,RAMPAL SINGH,77
Sri Chand,SRIRAM CHAUHAN,70
Neki Ram Sheokand,DHANI RAM SHANDIL,71
Premlata Singh Sheokand,SHAILENDRA PRATAP SINGH,74
Brijendra Singh Sheokand,BIJENDRA SINGH,74
Ranbir Singh Hooda,DALABIR SINGH,77
Inderjit Singh Hooda,Inderjit Singh,82
Bhupinder Singh Hooda,Bhupinder Singh,83
Deepender Singh Hooda,DEEPENDER SINGH,83
Rao Abhey Singh,RAO BIRENDER SINGH,73
Ajay Singh Yadav,Balram Singh Yadav,82
Abhimanyu Rao,ABHIMANYU,82
Rao Balbir Singh,RAO BIRENDER SINGH,76
Rao Inderjit Singh,Inderjit Singh,88
Rao Narbir Singh,RAO BIRENDER SINGH,76
Rao Dan Singh,DHAN SINGH RAWAT,83
Avtar Singh Bhadana,AVTAR SINGH BHADANA,100
Kartar Singh Bhadana,KARTAR SINGH BHADANA,100
Chaudhary Dalbir Singh,CHHATAR SINGH DARBAR,76
Selja Kumari,Renu Kumari,70
Om Prakash Jindal,OM PARKASH JINDAL,94
Naveen Jindal,NAVEEN JINDAL,100
Lalit Maken,LALIT ORAON,73
Ashok Tanwar,ASHOK TANWAR,100
Chiranji Lal Sharma,CHIRANJI LAL SHARMA,100
Ch. Randhir Singh Mann,Charanjit Singh Channi,74
Ch. Surjit Singh Mann,Surjit Singh Rakhra,77
Ch. Randeep Singh Mann,PRADEEP KUMAR SINGH,75
Kabir Ahmed,SABA AHMED,76
Choudhary Tayyab Husain,CHOUDARY TAYYAB HUSSEN,89
Zakir Hussain,Zakir Hussain,100
Zahida Hussain,Zakir Hussain,81
Naseem Ahmed,SALEEM AHAMED,80
Shakti Rani Sharma,ASHOK SHARMA,73
Virbhadra Singh,VIRBHADRA SINGH,100
Pratibha Singh,PRATIBHA SINGH,100
Vikramaditya Singh,VIRBHADRA SINGH,73
Prem Kumar Dhumal,PREM KUMAR DHUMAL,100
