STCODE,STNAME,DIST,DISTNAME,YEAR,BASE_YR_GDP,AGRI_GDP_CON,LIVES_GDP_CON,FL_GDP_CON,FISH_GDP_CON,MQ_GDP_CON,PS_GDP_CON,MA_GDP_CON,REG_GDP_CON,UREG_GDP_CON,EGWS_GDP_CON,CONS_GDP_CON,SS_GDP_CON,THR_GDP_CON,RAIL_GDP_CON,TMS_GDP_CON,COMM_GDP_CON,BI_GDP_CON,RDBS_GDP_CON,PA_GDP_CON,OS_GDP_CON,TS_GDP_CON,GDDP_CON,AGRI_GDP_CUR,LIVES_GDP_CUR,FL_GDP_CUR,FISH_GDP_CUR,MQ_GDP_CUR,PS_GDP_CUR,MA_GDP_CUR,REG_GDP_CUR,UREG_GDP_CUR,EGWS_GDP_CUR,CONS_GDP_CUR,SS_GDP_CUR,THR_GDP_CUR,RAIL_GDP_CUR,TMS_GDP_CUR,COMM_GDP_CUR,BI_GDP_CUR,RDBS_GDP_CUR,PA_GDP_CUR,OS_GDP_CUR,TS_GDP_CUR,GDDP_CUR,GROSS_PCI_CONP,GROSS_PCI_CURP,...53,...54,...55,...56,...57,...58
1,Andhra Pradesh,44,Srikakulam,1993,1999,67449,5494,4096,2430,1363,80832,15612,3505,12107,3968,6041,25621,21538,5698,7767,911,8060,27164,11901,25800,108839,215292,41140,3485,1902,1413,792,48732,10890,2529,8361,2502,3784,17176,13933,3948,4781,784,6284,17595,7347,15863,70535,136443,-1,-1,NA,NA,NA,NA,NA,NA
1,Andhra Pradesh,44,Srikakulam,1994,1999,72284,9399,4174,1961,2197,90015,22836,9506,13330,4879,6901,34616,26953,5859,8556,984,9298,27934,12921,27367,119872,244503,50307,6958,2335,1266,1392,62258,17793,7634,10159,3381,4712,25886,19440,4428,5783,916,7597,19275,8761,18489,84689,172833,-1,-1,NA,NA,NA,NA,NA,NA
1,Andhra Pradesh,44,Srikakulam,1995,1999,73297,9293,4260,1713,2748,91311,21583,6053,15530,4910,7031,33524,27284,6501,9075,1155,9850,28764,13291,28463,124383,249218,54676,7757,2879,1227,1901,68440,17901,5212,12689,3723,5297,26921,21284,5502,6714,1084,10352,21203,9889,21037,97065,192426,-1,-1,NA,NA,NA,NA,NA,NA
1,Andhra Pradesh,44,Srikakulam,1996,1999,63149,7460,4308,2497,2179,79593,32241,16321,15920,6469,7045,45755,31779,7224,9438,1395,11013,29603,13704,29861,134017,259365,56174,7327,3363,1874,1420,70158,28332,14751,13581,4128,5861,38321,27280,6208,7613,1341,11052,23167,11109,24058,111828,220307,-1,-1,NA,NA,NA,NA,NA,NA
1,Andhra Pradesh,44,Srikakulam,1997,1999,54641,8340,4347,3944,2651,73923,26051,9173,16878,5185,8077,39313,29195,7520,9592,1716,12384,30428,14717,32704,138256,251492,51101,7994,3943,6389,1855,71282,24390,8888,15502,4598,6957,35945,26556,7160,8307,1657,12162,25395,12791,28280,122308,229535,-1,-1,NA,NA,NA,NA,NA,NA
1,Andhra Pradesh,44,Srikakulam,1998,1999,66851,9322,4446,4482,2860,87961,27481,9709,17772,5577,8470,41528,32476,8043,8566,2146,14174,32058,14525,33666,145654,275143,62103,8946,4487,8244,2469,86249,27022,9991,17031,5525,8055,40602,31139,6452,8281,2142,13423,29256,14040,32508,137241,264092,-1,-1,NA,NA,NA,NA,NA,NA
1,Andhra Pradesh,44,Srikakulam,1999,1999,57809,10217,4749,5827,4864,83466,36896,20094,16802,6656,15990,59542,34036,3412,10039,2489,15055,29696,13088,38571,146386,289394,57809,10217,4749,5827,4864,83466,36896,20094,16802,6656,15990,59542,34036,3412,10039,2489,15055,29696,13088,38571,146386,289394,-1,-1,NA,NA,NA,NA,NA,NA
1,Andhra Pradesh,44,Srikakulam,2000,1999,66166,19058,4815,7549,4386,101974,43383,25435,17948,6383,17175,66941,38691,3292,12741,3295,15624,30247,14137,41022,159049,327964,67959,19308,4974,8808,4703,105752,44296,26089,18207,7205,17997,69498,40439,3336,13617,3059,15948,32641,14757,42652,166449,341699,-1,-1,NA,NA,NA,NA,NA,NA
1,Andhra Pradesh,44,Srikakulam,2001,1999,71263,16858,4700,8024,5513,106358,31094,13616,17478,5934,18503,55531,40457,3533,12709,7800,18201,31921,14280,43565,172466,334355,74951,17788,5080,10698,5916,114433,32452,14322,18130,6499,20153,59104,43525,3620,13871,7353,20130,35928,15474,46814,186715,360252,-1,-1,NA,NA,NA,NA,NA,NA
1,Andhra Pradesh,44,Srikakulam,2002,1999,56125,20421,4797,8740,7574,97657,37029,18350,18679,7497,19786,64312,40430,3827,13173,9545,19947,33738,15103,45663,181426,343395,58527,23787,5309,10142,8138,105903,40827,20688,20139,8673,22017,71517,43947,4075,14909,8039,22952,39262,16870,51679,201733,379153,-1,-1,NA,NA,NA,NA,NA,NA
