State_Name,Assembly_No,Constituency_No,Year,month,Poll_No,DelimID,Position,Candidate,Sex,Party,Votes,Candidate_Type,Valid_Votes,Electors,Constituency_Name,Constituency_Type,Sub_Region,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Deposit_Lost,Margin,Margin_Percentage,ENOP,pid,Party_Type_TCPD,Party_ID,last_poll,Contested,Last_Party,Last_Party_ID,Last_Constituency_Name,Same_Constituency,Same_Party,No_Terms,Turncoat,Incumbent,Recontest,MyNeta_education,TCPD_Prof_Main,TCPD_Prof_Main_Desc,TCPD_Prof_Second,TCPD_Prof_Second_Desc,Election_Type,winner,vote_share_diff,dynastic,dynastic_1
Andhra_Pradesh,13,35,1999,9,0,3,1,dr. s. venugopal chary,M,TDP,390308,GEN,743602,1094868,ADILABAD,GEN,NA,7,67.92,52.49,no,109723,14.76,2.38,AEAP19712,State-based Party,8300,TRUE,3,TDP,8300,ADILABAD,TRUE,TRUE,3,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),1,14.760000000000005,0,0
Andhra_Pradesh,13,35,1999,9,0,3,2,mohd. sultan ahmad,M,INC,280585,NA,743602,1094868,ADILABAD,GEN,NA,7,67.92,37.73,no,245472,33.01,2.38,GEAP69829,National Party,3482,TRUE,1,NA,NA,NA,NA,NA,0,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),0,NA,0,0
Kerala,13,17,1999,9,0,3,1,kodikunnil suresh,M,INC,337003,SC,698186,1007138,ADOOR,SC,NA,5,69.32,48.27,no,22006,3.15,2.33,GEKL40497,National Party,3482,TRUE,5,INC,3482,ADOOR,TRUE,TRUE,4,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),1,3.1500000000000057,0,0
Kerala,13,17,1999,9,0,3,2,chengara surendran,M,CPI,314997,SC,698186,1007138,ADOOR,SC,NA,5,69.32,45.12,no,271071,38.83,2.33,GEKL66643,State-based Party,2444,TRUE,2,CPI,2444,ADOOR,TRUE,TRUE,1,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),0,NA,0,0
Uttar_Pradesh,13,73,1999,9,0,3,1,raj babbar,M,SP,288558,GEN,642426,1250278,AGRA,GEN,NA,16,51.38,44.92,no,112982,17.59,3.33,GEUP60741,State-based Party,7425,TRUE,2,SP,7425,LUCKNOW,FALSE,TRUE,1,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),1,17.590000000000003,0,0
Uttar_Pradesh,13,73,1999,9,0,3,2,bhagwan shankar rawat,M,BJP,175576,NA,642426,1250278,AGRA,GEN,NA,16,51.38,27.33,no,55814,8.69,3.33,GEUP34220,National Party,1605,TRUE,5,BJP,1605,AGRA,TRUE,TRUE,3,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),0,NA,0,0
Gujarat,13,10,1999,9,0,3,1,harin pathak,M,BJP,280696,GEN,527737,1320165,AHMEDABAD,GEN,NA,10,39.98,53.19,no,52968,10.04,2.13,AEGJ4304,National Party,1605,TRUE,5,BJP,1605,AHMEDABAD,TRUE,TRUE,5,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),1,10.04,0,0
Gujarat,13,10,1999,9,0,3,2,girish popatlal dani    (girish dani),M,INC,227728,NA,527737,1320165,AHMEDABAD,GEN,NA,10,39.98,43.15,no,220353,41.75,2.13,GEGJ69587,National Party,3482,TRUE,1,NA,NA,NA,NA,NA,0,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),0,NA,0,0
Maharashtra,13,39,1999,9,0,3,1,dilipkumar mansukhlal gandhi,M,BJP,278508,GEN,731858,1147112,AHMEDNAGAR,GEN,NA,5,63.8,38.05,no,28457,3.89,3.03,GEMH80209,National Party,1605,TRUE,1,NA,NA,NA,NA,NA,1,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),1,3.8799999999999955,0,0
Maharashtra,13,39,1999,9,0,3,2,maruti deoram alias dada patil shelke,M,NCP,250051,NA,731858,1147112,AHMEDNAGAR,GEN,NA,5,63.8,34.17,no,60462,8.26,3.03,GEMH57914,State-based Party,5792,TRUE,3,INC,3482,AHMEDNAGAR,TRUE,FALSE,1,TRUE,FALSE,TRUE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),0,NA,0,0
Rajasthan,13,12,1999,9,0,3,1,rasa singh rawat,M,BJP,332130,GEN,593468,1106811,AJMER,GEN,NA,3,53.62,55.96,no,87674,14.77,2.08,GERJ38898,National Party,1605,TRUE,5,BJP,1605,AJMER,TRUE,TRUE,4,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),1,14.770000000000003,0,0
Rajasthan,13,12,1999,9,0,3,2,prabha thakur,F,INC,244456,NA,593468,1106811,AJMER,GEN,NA,3,53.62,41.19,no,227574,38.35,2.08,GERJ68597,National Party,3482,TRUE,2,INC,3482,AJMER,TRUE,TRUE,1,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),0,NA,0,0
Uttar_Pradesh,13,27,1999,9,0,3,1,mayawati,F,BSP,259762,SC,738870,1230232,AKBARPUR,SC,NA,15,60.06,35.16,no,53386,7.23,3.7,AEUP113051,State-based Party,16651,FALSE,10,BSP,16651,AKBARPUR,TRUE,TRUE,3,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),1,7.229999999999997,0,0
Uttar_Pradesh,13,27,1999,9,0,3,2,ram piyare suman,M,SP,206376,NA,738870,1230232,AKBARPUR,SC,NA,15,60.06,27.93,no,23623,3.2,3.7,GEUP33546,State-based Party,7425,FALSE,4,AIIC(T),8871,AKBARPUR,TRUE,FALSE,1,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),0,NA,0,0
Maharashtra,13,19,1999,9,0,3,1,ambedkar prakash yashwant,M,BBM,272243,NA,671649,1145140,AKOLA,GEN,NA,6,58.65,40.53,no,8716,1.3,2.94,GEMH70642,Local Party,1875,TRUE,7,RPI,6911,AKOLA,TRUE,FALSE,2,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),1,1.2899999999999991,0,1
