shrid,State_Name,Assembly_No,Constituency_No,Year,month,Poll_No,DelimID,Position,Candidate,Sex,Party,Votes,Candidate_Type,Valid_Votes,Electors,Constituency_Name,Constituency_Type,Sub_Region,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Deposit_Lost,Margin,Margin_Percentage,ENOP,pid,Party_Type_TCPD,Party_ID,last_poll,Contested,Last_Party,Last_Party_ID,Last_Constituency_Name,Same_Constituency,Same_Party,No_Terms,Turncoat,Incumbent,Recontest,MyNeta_education,TCPD_Prof_Main,TCPD_Prof_Main_Desc,TCPD_Prof_Second,TCPD_Prof_Second_Desc,Election_Type,winner,vote_share_diff,dynastic,dynastic_1,dynast_3,num_cells,total_light1999,total_light_cal1999,max_light1999,total_light2004,total_light_cal2004,max_light2004,total_light2009,total_light_cal2009,max_light2009,max_light2013,ec13_district_name.x
11-01-004602,Jammu_&_Kashmir,15,5,2009,4,0,4,1,ch. lal singh,M,INC,231853,GEN,611725,1363060,udhampur,GEN,NA,14,44.88,37.9,no,13394,2.19,3.57,GEJK75995,National Party,3482,TRUE,2,INC,3482,UDHAMPUR,TRUE,TRUE,2,FALSE,TRUE,TRUE,Graduate,Other,NA,NA,NA,Lok Sabha Election (GE),1,2.19,0,1,1,17,0,0,0,0,8.5,0,0,17,0,0,ramban
11-01-004602,Jammu_&_Kashmir,14,5,2004,4,0,3,2,prof. chaman lal gupta,M,BJP,193697,GEN,608074,1348721,udhampur,GEN,NA,20,45.09,31.85,no,123726,20.35,3.57,GEJK54474,National Party,1605,TRUE,4,BJP,1605,UDHAMPUR,TRUE,TRUE,3,FALSE,TRUE,TRUE,Post Graduate,Other,NA,NA,NA,Lok Sabha Election (GE),0,NA,0,0,0,17,0,0,0,0,8.5,0,0,17,0,0,ramban
11-01-004602,Jammu_&_Kashmir,15,5,2009,4,0,4,2,dr. nirmal singh,M,BJP,218459,GEN,611725,1363060,udhampur,GEN,NA,14,44.88,35.71,no,148996,24.36,3.57,GEJK76016,National Party,1605,TRUE,2,BJP,1605,JAMMU,FALSE,TRUE,0,FALSE,FALSE,TRUE,Doctorate,Other,NA,NA,NA,Lok Sabha Election (GE),0,NA,1,0,1,17,0,0,0,0,8.5,0,0,17,0,0,ramban
11-01-004602,Jammu_&_Kashmir,13,5,1999,9,0,3,2,jagjiwan lal,M,JKN,76371,NA,397187,1016952,udhampur,GEN,NA,16,39.06,19.23,no,533,0.13,3.12,AEJK104477,State-based Party,11089,TRUE,1,NA,NA,NA,NA,NA,0,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),0,NA,0,0,0,17,0,0,0,0,8.5,0,0,17,0,0,ramban
11-01-004602,Jammu_&_Kashmir,13,5,1999,9,0,3,1,prof. chaman lal gupta,M,BJP,194678,GEN,397187,1016952,udhampur,GEN,NA,16,39.06,49.01,no,118307,29.79,3.12,GEJK54474,National Party,1605,TRUE,3,BJP,1605,UDHAMPUR,TRUE,TRUE,3,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),1,29.78,0,0,0,17,0,0,0,0,8.5,0,0,17,0,0,ramban
11-01-004602,Jammu_&_Kashmir,14,5,2004,4,0,3,1,ch. lal singh,M,INC,240872,GEN,608074,1348721,udhampur,GEN,NA,20,45.09,39.61,no,47175,7.76,3.57,GEJK75995,National Party,3482,TRUE,1,NA,NA,NA,NA,NA,1,FALSE,FALSE,FALSE,Graduate,Other,NA,NA,NA,Lok Sabha Election (GE),1,7.76,0,1,1,17,0,0,0,0,8.5,0,0,17,0,0,ramban
11-01-005159,Jammu_&_Kashmir,15,6,2009,4,0,4,1,madan lal sharma,M,INC,382305,GEN,843314,1719897,jammu,GEN,NA,21,49.03,45.33,no,121373,14.39,3.12,GEJK73183,National Party,3482,TRUE,4,INC,3482,JAMMU,TRUE,TRUE,2,FALSE,TRUE,TRUE,10th Pass,Other,NA,NA,NA,Lok Sabha Election (GE),1,14.39,0,0,0,10,10.5,14.5,4,36.5,51.5,4.5,4,14,4,7,udhampur
11-01-005159,Jammu_&_Kashmir,15,6,2009,4,0,4,2,lila karan sharma,M,BJP,260932,GEN,843314,1719897,jammu,GEN,NA,21,49.03,30.94,no,167202,19.83,3.12,GEJK3980,National Party,1605,TRUE,1,NA,NA,NA,NA,NA,0,FALSE,FALSE,FALSE,Graduate Professional,Other,NA,NA,NA,Lok Sabha Election (GE),0,NA,0,0,0,10,10.5,14.5,4,36.5,51.5,4.5,4,14,4,7,udhampur
11-01-005159,Jammu_&_Kashmir,14,6,2004,4,0,3,2,dr. nirmal singh,M,BJP,302426,GEN,821670,1849989,jammu,GEN,NA,26,44.41,36.81,no,182029,22.15,3.23,GEJK76016,National Party,1605,TRUE,1,NA,NA,NA,NA,NA,0,FALSE,FALSE,FALSE,Doctorate,Other,NA,NA,NA,Lok Sabha Election (GE),0,NA,1,0,1,10,10.5,14.5,4,36.5,51.5,4.5,4,14,4,7,udhampur
11-01-005159,Jammu_&_Kashmir,13,6,1999,9,0,3,1,vishno datt sharma,M,BJP,289412,NA,665921,1446792,jammu,GEN,NA,22,46.03,43.46,no,142019,21.33,3.45,GEJK201475,National Party,1605,FALSE,1,NA,NA,NA,NA,NA,1,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),1,21.33,0,0,0,10,10.5,14.5,4,36.5,51.5,4.5,4,14,4,7,udhampur
11-01-005159,Jammu_&_Kashmir,13,6,1999,9,0,3,2,rajinder singh chib,M,JKN,147393,NA,665921,1446792,jammu,GEN,NA,22,46.03,22.13,no,21037,3.16,3.45,AEJK104539,State-based Party,11089,FALSE,3,JKN,11089,UDHAMPUR,FALSE,TRUE,0,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),0,NA,0,0,0,10,10.5,14.5,4,36.5,51.5,4.5,4,14,4,7,udhampur
11-01-005159,Jammu_&_Kashmir,14,6,2004,4,0,3,1,madan lal sharma,M,INC,319994,GEN,821670,1849989,jammu,GEN,NA,26,44.41,38.94,no,17568,2.14,3.23,GEJK73183,National Party,3482,TRUE,3,INC,3482,JAMMU,TRUE,TRUE,1,FALSE,FALSE,TRUE,10th Pass,Other,NA,NA,NA,Lok Sabha Election (GE),1,2.13,0,0,0,10,10.5,14.5,4,36.5,51.5,4.5,4,14,4,7,udhampur
11-02-008267,Himachal_Pradesh,14,3,2004,4,0,3,2,shanta kumar,M,BJP,296764,GEN,643177,1033686,kangra,GEN,NA,6,62.22,46.14,no,285904,44.45,2.22,GEHP39991,National Party,1605,TRUE,5,BJP,1605,KANGRA,TRUE,TRUE,3,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),0,NA,0,0,0,2,0,0,0,3,5,1.5,8,10,4,6,kangra
11-02-008267,Himachal_Pradesh,15,1,2009,4,0,4,1,dr. rajan sushant,M,BJP,322254,GEN,661847,1200165,kangra,GEN,NA,10,55.15,48.69,no,20779,3.14,2.22,AEHP301431,National Party,1605,TRUE,2,RNP,12201,KANGRA,TRUE,FALSE,1,TRUE,FALSE,FALSE,Graduate Professional,Other,NA,NA,NA,Lok Sabha Election (GE),1,3.14,0,0,0,2,0,0,0,3,5,1.5,8,10,4,6,kangra
11-02-008267,Himachal_Pradesh,13,3,1999,9,0,3,1,shanta kumar,M,BJP,325066,GEN,552860,935090,kangra,GEN,NA,5,59.12,58.8,no,100742,18.22,1.96,GEHP39991,National Party,1605,TRUE,4,BJP,1605,KANGRA,TRUE,TRUE,3,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),1,18.22,0,0,0,2,0,0,0,3,5,1.5,8,10,4,6,kangra
11-02-008267,Himachal_Pradesh,15,1,2009,4,0,4,2,chander kumar,M,INC,301475,GEN,661847,1200165,kangra,GEN,NA,10,55.15,45.55,no,288730,43.62,2.22,AEHP748,National Party,3482,TRUE,2,INC,3482,KANGRA,TRUE,TRUE,1,FALSE,TRUE,TRUE,Post Graduate,Other,NA,NA,NA,Lok Sabha Election (GE),0,NA,1,0,1,2,0,0,0,3,5,1.5,8,10,4,6,kangra
11-02-008267,Himachal_Pradesh,13,3,1999,9,0,3,2,sat mahajan,M,INC,224324,NA,552860,935090,kangra,GEN,NA,5,59.12,40.58,no,222333,40.22,1.96,AEHP725,National Party,3482,TRUE,3,INC,3482,KANGRA,TRUE,TRUE,1,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),0,NA,1,0,1,2,0,0,0,3,5,1.5,8,10,4,6,kangra
11-02-008267,Himachal_Pradesh,14,3,2004,4,0,3,1,chander kumar,M,INC,314555,GEN,643177,1033686,kangra,GEN,NA,6,62.22,48.91,no,17791,2.77,2.22,AEHP748,National Party,3482,TRUE,1,NA,NA,NA,NA,NA,1,FALSE,FALSE,FALSE,Post Graduate,Other,NA,NA,NA,Lok Sabha Election (GE),1,2.77,1,0,1,2,0,0,0,3,5,1.5,8,10,4,6,kangra
11-02-012986,Himachal_Pradesh,15,2,2009,4,0,4,1,virbhadra singh,M,INC,340973,GEN,713026,1112524,mandi,GEN,NA,6,64.09,47.82,no,13997,1.96,2.27,GEHP302053,National Party,3482,FALSE,5,INC(I),3482,MANDI,TRUE,TRUE,4,FALSE,FALSE,FALSE,Post Graduate,Other,NA,NA,NA,Lok Sabha Election (GE),1,1.96,1,1,1,2,0,0,0,0,1,0,0,2,0,0,mandi
11-02-012986,Himachal_Pradesh,13,2,1999,9,0,3,2,kaul singh,M,INC,194904,NA,525240,968826,mandi,GEN,NA,4,54.21,37.11,no,191247,36.41,1.89,GEHP70192,National Party,3482,TRUE,1,NA,NA,NA,NA,NA,0,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),0,NA,1,1,1,2,0,0,0,0,1,0,0,2,0,0,mandi
