State_Name,Assembly_No,Constituency_No,Year,month,Poll_No,DelimID,Position,Candidate,Sex,Party,Votes,Candidate_Type,Valid_Votes,Electors,district,Constituency_Type,Sub_Region,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Deposit_Lost,Margin,Margin_Percentage,ENOP,pid,Party_Type_TCPD,Party_ID,last_poll,Contested,Last_Party,Last_Party_ID,Last_Constituency_Name,Same_Constituency,Same_Party,No_Terms,Turncoat,Incumbent,Recontest,MyNeta_education,TCPD_Prof_Main,TCPD_Prof_Main_Desc,TCPD_Prof_Second,TCPD_Prof_Second_Desc,Election_Type,total_light1996,total_light_cal1996,max_light1996,total_light1999,total_light_cal1999,max_light1999,total_light2004,total_light_cal2004,max_light2004,total_light2009,total_light_cal2009,max_light2009,total_light2013,total_light_cal2013,max_light2013,pc91_pca_tot_p,pc01_pca_tot_p,pc11_pca_tot_p,pc96_pca_tot_p,pc99_pca_tot_p,pc04_pca_tot_p,pc09_pca_tot_p,pc14_pca_tot_p,vote_share_diff,population,total_light_diff,max_light_diff,total_light_cal_diff,education,year_1996,year_1999,year_2004,year_2009,dynast_wiki,dynast_pdf,dynast
Rajasthan,11,12,1996,4,0,3,1,RASA SINGH RAWAT,1,BJP,217655,GEN,442001,1058086,ajmer,GEN,NA,27,41.77,49.24,no,38132,8.63,2.5,GERJ38898,National Party,1605,TRUE,3,BJP,1605,AJMER,TRUE,TRUE,3,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),36734,45561,4435,40749,49726,4861.5,42600,58801.5,4783.5,50042,63030,5990,69532,66881,8624,1714137,2130055,2525765,1922096,2046871.4,2248768,2446623,2650877.200000003,8.620000000000005,1922096,0.10372854280211996,0.09181941650603065,0.0874758477299249,NA,1,0,0,0,0,1,1
Rajasthan,11,12,1996,4,0,3,2,KISHAN MOTWANI,1,INC,179523,NA,442001,1058086,ajmer,GEN,NA,27,41.77,40.62,no,169448,38.34,2.5,AERJ58991,National Party,3482,TRUE,1,NA,NA,NA,NA,NA,0,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),36734,45561,4435,40749,49726,4861.5,42600,58801.5,4783.5,50042,63030,5990,69532,66881,8624,1714137,2130055,2525765,1922096,2046871.4,2248768,2446623,2650877.200000003,-8.620000000000005,1922096,0.10372854280211996,0.09181941650603065,0.0874758477299249,NA,1,0,0,0,0,0,0
Maharashtra,11,19,1996,4,0,3,1,PHUNDKAR PANDURANG PUNDLIK,1,BJP,221094,NA,638841,1075426,akola,GEN,NA,22,59.4,34.61,no,9053,1.42,3.45,GEMH32186,National Party,1605,TRUE,4,BJP,1605,AKOLA,TRUE,TRUE,3,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),31567,39395,4991,33575,41128,5366.5,27666.5,37970,4479.5,24305,31303,4186,40338,38711,6433,1334514,1607064,1784147,1470789,1552554,1660188.9,1748730.4,1867503.1166666597,1.4200000000000017,1470789,0.06166947127904088,0.07253963645197103,0.0430502500555523,NA,1,0,0,0,0,0,0
Maharashtra,11,19,1996,4,0,3,2,AMBEDKAR PRAKASH YESHWANT,1,RPI,212041,NA,638841,1075426,akola,GEN,NA,22,59.4,33.19,no,61910,9.69,3.45,GEMH70642,State-based Party,6911,TRUE,4,BRP,1800,AKOLA,TRUE,FALSE,0,TRUE,FALSE,TRUE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),31567,39395,4991,33575,41128,5366.5,27666.5,37970,4479.5,24305,31303,4186,40338,38711,6433,1334514,1607064,1784147,1470789,1552554,1660188.9,1748730.4,1867503.1166666597,-1.4200000000000017,1470789,0.06166947127904088,0.07253963645197103,0.0430502500555523,NA,1,0,0,0,1,0,1
Uttar_Pradesh,11,76,1996,4,0,3,1,SHEELA GAUTAM,0,BJP,233130,GEN,500314,1252135,aligarh,GEN,NA,41,39.96,46.6,no,91048,18.2,3.03,GEUP49130,National Party,1605,TRUE,2,BJP,1605,ALIGARH,TRUE,TRUE,2,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),21076,26118,6216,22863.5,28136,6359.5,17186.5,24030.5,4993,19615,25201,5954,26964,27106,8020,2416119,2970181,3639543,2693150,2859368.6,3170989.6,3505670.6,3803839.9333333373,18.200000000000003,2693150,0.0814068001618864,0.022823144844055676,0.07442516337346561,NA,1,0,0,0,0,1,1
Uttar_Pradesh,11,76,1996,4,0,3,2,ABDUL KHALIQ,1,BSP,142082,NA,500314,1252135,aligarh,GEN,NA,41,39.96,28.4,no,80315,16.05,3.03,AEUP117892,State-based Party,16651,TRUE,1,NA,NA,NA,NA,NA,0,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),21076,26118,6216,22863.5,28136,6359.5,17186.5,24030.5,4993,19615,25201,5954,26964,27106,8020,2416119,2970181,3639543,2693150,2859368.6,3170989.6,3505670.6,3803839.9333333373,-18.200000000000003,2693150,0.0814068001618864,0.022823144844055676,0.07442516337346561,NA,1,0,0,0,0,0,0
Uttar_Pradesh,11,56,1996,4,0,3,1,MURLI MANOHAR JOSHI,1,BJP,216844,GEN,507695,1391585,allahabad,GEN,NA,73,36.48,42.71,no,103523,20.39,3.7,GEUP62210,National Party,1605,TRUE,4,BJP,1605,ALMORA,FALSE,TRUE,2,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),36522,45419,14558,29347.5,35728,11014,28627.5,38844.5,10225,33608,41315,12187,64056,54940,23646,3658208,4626378,5582336,4142293,4432744,4913165.4,5391144.4,5872990.533333361,20.39,4142293,-0.21870745496930333,-0.27897347985577703,-0.23999582460452196,NA,1,0,0,0,0,1,1
Uttar_Pradesh,11,56,1996,4,0,3,2,SAROJ DUBEY,0,JD,113321,NA,507695,1391585,allahabad,GEN,NA,73,36.48,22.32,no,10969,2.16,3.7,GEUP48697,National Party,4217,TRUE,2,JD,4217,ALLAHABAD,TRUE,TRUE,1,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),36522,45419,14558,29347.5,35728,11014,28627.5,38844.5,10225,33608,41315,12187,64056,54940,23646,3658208,4626378,5582336,4142293,4432744,4913165.4,5391144.4,5872990.533333361,-20.39,4142293,-0.21870745496930333,-0.27897347985577703,-0.23999582460452196,NA,1,0,0,0,0,0,0
Rajasthan,11,8,1996,4,0,3,1,NAWAL KISHORE,1,INC,156947,NA,433330,1132574,alwar,GEN,NA,45,38.26,36.22,no,2433,0.56,3.7,GERJ45655,National Party,3482,TRUE,7,INC,3482,DAUSA,FALSE,TRUE,5,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),52832,66047,11246,45625.5,56483,9856.5,50261.5,68580.5,10318.5,87082,102444,18541,132300,109564,28228,2262837,2955910,3629688,2609373.5,2817295.4,3158043.4,3494932.4,3837931.4833333343,0.5600000000000023,2609373.5,-0.14665029699099996,-0.13188137384611487,-0.15642690187886643,NA,1,0,0,0,0,0,0
Rajasthan,11,8,1996,4,0,3,2,JASWANT SINGH YADAV,1,BJP,154514,NA,433330,1132574,alwar,GEN,NA,45,38.26,35.66,no,106038,24.47,3.7,AERJ6,National Party,1605,TRUE,1,NA,NA,NA,NA,NA,0,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),52832,66047,11246,45625.5,56483,9856.5,50261.5,68580.5,10318.5,87082,102444,18541,132300,109564,28228,2262837,2955910,3629688,2609373.5,2817295.4,3158043.4,3494932.4,3837931.4833333343,-0.5600000000000023,2609373.5,-0.14665029699099996,-0.13188137384611487,-0.15642690187886643,NA,1,0,0,0,0,1,1
