State_Name,Assembly_No,Constituency_No,Year,month,Poll_No,DelimID,Position,Candidate,Sex,Party,Votes,Candidate_Type,Valid_Votes,Electors,district,Constituency_Type,Sub_Region,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Deposit_Lost,Margin,Margin_Percentage,ENOP,pid,Party_Type_TCPD,Party_ID,last_poll,Contested,Last_Party,Last_Party_ID,Last_Constituency_Name,Same_Constituency,Same_Party,No_Terms,Turncoat,Incumbent,Recontest,MyNeta_education,TCPD_Prof_Main,TCPD_Prof_Main_Desc,TCPD_Prof_Second,TCPD_Prof_Second_Desc,Election_Type,total_light1996,total_light_cal1996,max_light1996,total_light1999,total_light_cal1999,max_light1999,total_light2004,total_light_cal2004,max_light2004,total_light2009,total_light_cal2009,max_light2009,total_light2013,total_light_cal2013,max_light2013,pc91_pca_tot_p,pc01_pca_tot_p,pc11_pca_tot_p,pc96_pca_tot_p,pc99_pca_tot_p,pc04_pca_tot_p,pc09_pca_tot_p,pc14_pca_tot_p,vote_share_diff,population,total_light_diff,max_light_diff,total_light_cal_diff,education,year_1996,year_1999,year_2004,year_2009,Andhra_Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Goa,Gujarat,Haryana,Himachal_Pradesh,Jharkhand,Karnataka,Kerala,Lakshadweep,Madhya_Pradesh,Maharashtra,Odisha,Puducherry,Punjab,Rajasthan,Tamil_Nadu,Uttar_Pradesh,Uttarakhand,West_Bengal,dynast_wiki,dynast_pdf,dynast,dynast_2004,dynast_1999,transition
Andhra_Pradesh,15,1,2009,4,0,4,1,rathod ramesh,1,TDP,372268,ST,863581,1131211,adilabad,ST,NA,9,76.34,43.11,no,115087,13.33,3.33,AEAP12570,State-based Party,8300,TRUE,1,NA,NA,NA,NA,NA,1,FALSE,FALSE,FALSE,12th Pass,Other,NA,NA,NA,Lok Sabha Election (GE),50616,63717,7076,51285.5,63272,7457.5,50468,72557,7034,69396,90164,9536,97420,99022,12484,2047157,2445544,2701964,2246350.5,2365866.6,2522470,2650680,2823846.2166666687,13.329999999999998,2246350.5,0.3392022994143158,0.269373714085539,0.09371181334939749,6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
Uttar_Pradesh,15,18,2009,4,0,4,1,dr. ramshankar,1,BJP,203697,SC,647090,1539683,agra,SC,DOAB,15,42.03,31.48,no,9715,1.5,3.85,GEUP11688,National Party,1605,TRUE,1,NA,NA,NA,NA,NA,1,FALSE,FALSE,FALSE,Doctorate,Other,NA,NA,NA,Lok Sabha Election (GE),31050,37825,6173,30530.5,36658,5757,35946.5,46142,6711.5,52273,59954,10118,65649,53308,13079,2735081,3599289,4395084,3167185,3426447.4,3838027.5,4235925,4655486.616666675,1.5,3167185,0.227842382963658,0.25669187463727106,-0.11749118779876966,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Uttarakhand,15,3,2009,4,0,4,1,pradeep tamta,1,INC,200824,SC,480757,1057379,almora,SC,NA,10,45.47,41.77,no,6950,1.45,2.94,GEUK13752,National Party,3482,TRUE,1,NA,NA,NA,NA,NA,1,FALSE,FALSE,FALSE,Post Graduate,Other,NA,NA,NA,Lok Sabha Election (GE),2460,3069,1775,3208,4195,2221.5,6309,9412,4206.5,4974,8097,3341,13581,14656,8650,524136,544065,537286,534100.5,540079.2,542031.3,538641.8,543709.8333333334,1.4400000000000048,534100.5,1.004447411740717,0.9512891575691675,0.5933561852277975,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Haryana,15,1,2009,4,0,4,1,selja,0,INC,322258,SC,866622,1264907,ambala,SC,NA,7,68.51,37.19,no,14570,1.68,3.12,GEHR75765,National Party,3482,TRUE,6,INC,3482,AMBALA,TRUE,TRUE,4,FALSE,TRUE,TRUE,Post Graduate,Other,NA,NA,NA,Lok Sabha Election (GE),27566,34581,6038,26702,32382,5736.5,27498.5,35196.5,5958,37815,42392,8329,41070,31618,9162,792600,992884,1095736,892742,952827.2,1023739.6,1075165.6,1157445.0666666701,1.6899999999999977,892742,0.08257207866047445,0.09532109451134829,-0.29323308651646585,9,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maharashtra,15,7,2009,4,0,4,1,adsul anandrao vithoba,1,SHS,314286,SC,732492,1423855,amravati,SC,NA,22,51.44,42.91,no,61716,8.43,3.23,GEMH81305,State-based Party,18691,TRUE,5,SHS,18691,BULDHANA,FALSE,TRUE,4,FALSE,TRUE,TRUE,Graduate,Other,NA,NA,NA,Lok Sabha Election (GE),50130,62638,8002,50228,61736.5,8038.5,45445,62645.5,7101.5,35611,47893,6135,65828,64966,10397,2189287,2590876,2875116,2390081.5,2510558.2,2676148,2818268,2997548.516666673,8.43,2390081.5,0.6143907008383049,0.5275072248329593,0.30489470016945575,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,15,14,2009,4,0,4,1,kachhadia naranbhai,1,BJP,247666,GEN,524621,1312733,amreli,GEN,NA,16,39.96,47.21,no,37317,7.11,2.63,GEGJ3029,National Party,1605,TRUE,1,NA,NA,NA,NA,NA,1,FALSE,FALSE,FALSE,5th Pass,Other,NA,NA,NA,Lok Sabha Election (GE),45667,57250,3832,52838,64772,4456,37686.5,52233,3023,41297,50998,3495,52670,51100,4383,1298146,1387094,1502911,1342620,1369304.4,1421839.1,1479747.6,1529147.583333332,7.109999999999999,1342620,0.24325617539184918,0.2264000457508999,0.001998080940563085,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra_Pradesh,15,36,2009,4,0,4,1,anantha venkata rami reddy,1,INC,457876,GEN,1000208,1411460,anantapur,GEN,NA,12,70.86,45.78,no,77921,7.79,2.78,AEAP818397,National Party,3482,TRUE,5,INC,3482,ANANTAPUR,TRUE,TRUE,4,FALSE,TRUE,TRUE,Post Graduate,Other,NA,NA,NA,Lok Sabha Election (GE),72020,89953,5242,82589.5,104186.5,5576,76145.5,106850,4884.5,103669,128008,6821,128943,126804,8817,3167707,3631138,4052970,3399422.5,3538451.8,3757687.6,3968603.6,4192692.6166666746,7.789999999999999,3399422.5,0.21816731495104769,0.2566755874323068,-0.009450174719679794,9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,15,9,2009,4,0,4,1,pradeep kumar singh,1,BJP,282742,GEN,730456,1311225,araria,GEN,NA,25,55.71,38.71,no,22502,3.08,3.57,GEBR73703,National Party,1605,TRUE,3,IND,10809,PRATAPGARH,FALSE,FALSE,1,FALSE,FALSE,TRUE,10th Pass,Other,NA,NA,NA,Lok Sabha Election (GE),1492,1886,364,1299,1645.5,321.5,1826.5,4117.5,470,4538,8293,1087,6117,11132,1581,1595555,2134031,2777324,1864793,2026335.8,2327018.9,2648665.4,2937119.850000009,3.0799999999999983,1864793,0.29858539390277805,0.3746359500882628,0.2944120581945775,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
Bihar,15,37,2009,4,0,4,1,sushil kumar singh,1,JD(U),260153,GEN,598309,1376323,aurangabad,GEN,NA,16,43.47,43.48,no,72058,12.04,3.23,GEBR52497,State-based Party,11002,TRUE,5,JD(U),11002,AURANGABAD,TRUE,TRUE,2,FALSE,FALSE,TRUE,Post Graduate,Other,NA,NA,NA,Lok Sabha Election (GE),67199,83591,9084,70647,85608.5,9344.5,65445.5,89877,8932.5,58262,76108,8214,71922,78860,11873,3671222,4809493,6105778,4240357.5,4581838.8,5198378.5,5846521,6444625.733333349,12.039999999999996,4240357.5,0.2106321186403708,0.36842689914928783,0.03552074427132723,9,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,15,37,2009,4,0,4,1,sushil kumar singh,1,JD(U),260153,GEN,598309,1376323,aurangabad,GEN,NA,16,43.47,43.48,no,72058,12.04,3.23,GEBR52497,State-based Party,11002,TRUE,5,JD(U),11002,AURANGABAD,TRUE,TRUE,2,FALSE,FALSE,TRUE,Post Graduate,Other,NA,NA,NA,Lok Sabha Election (GE),67199,83591,9084,70647,85608.5,9344.5,65445.5,89877,8932.5,58262,76108,8214,71922,78860,11873,3671222,4809493,6105778,4240357.5,4581838.8,5198378.5,5846521,6444625.733333349,4.52,4240357.5,0.2106321186403708,0.36842689914928783,0.03552074427132723,9,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
